comparison,feature,category,count_A,count_B,prevalence_A,prevalence_B,default_rate_A,default_rate_B,base_rate_A,base_rate_B,risk_diff_A,risk_diff_B,delta_abs_risk_difference,rare_flag
cross_segment,zip_code,227xx,32,9,0.00039685492472158146,0.0002743567857578344,0.21875,0.1111111111111111,0.1636406478656646,0.13196561394951836,0.055109352134335404,-0.020854502838407257,0.07596385497274266,True
cross_segment,zip_code,292xx,72,32,0.0008929235806235583,0.0009754907938056335,0.1111111111111111,0.0625,0.1636406478656646,0.13196561394951836,-0.05252953675455349,-0.06946561394951836,0.01693607719496487,True
cross_segment,zip_code,350xx,100,40,0.0012401716397549421,0.0012193634922570418,0.17,0.05,0.1636406478656646,0.13196561394951836,0.0063593521343354165,-0.08196561394951836,0.08832496608385378,True
cross_segment,zip_code,129xx,50,13,0.0006200858198774711,0.0003962931349835386,0.18,0.0,0.1636406478656646,0.13196561394951836,0.016359352134335398,-0.13196561394951836,0.14832496608385376,True
cross_segment,zip_code,814xx,28,16,0.0003472480591313838,0.00048774539690281675,0.07142857142857142,0.0,0.1636406478656646,0.13196561394951836,-0.09221207643709317,-0.13196561394951836,0.03975353751242519,True
cross_segment,zip_code,974xx,129,56,0.0015998214152838752,0.0017071088891598585,0.17054263565891473,0.125,0.1636406478656646,0.13196561394951836,0.0069019877932501306,-0.006965613949518362,0.013867601742768493,True
cross_segment,zip_code,444xx,66,20,0.0008185132822382618,0.0006096817461285209,0.09090909090909091,0.05,0.1636406478656646,0.13196561394951836,-0.07273155695657368,-0.08196561394951836,0.009234056992944675,True
cross_segment,zip_code,084xx,14,4,0.0001736240295656919,0.00012193634922570419,0.0,0.0,0.1636406478656646,0.13196561394951836,-0.1636406478656646,-0.13196561394951836,0.031675033916146234,True
cross_segment,zip_code,489xx,35,22,0.0004340600739142297,0.000670649920741373,0.05714285714285714,0.18181818181818182,0.1636406478656646,0.13196561394951836,-0.10649779072280746,0.04985256786866346,0.15635035859147092,True
cross_segment,zip_code,851xx,127,38,0.0015750179824887765,0.0011583953176441898,0.2047244094488189,0.05263157894736842,0.1636406478656646,0.13196561394951836,0.0410837615831543,-0.07933403500214994,0.12041779658530424,True
cross_segment,zip_code,341xx,53,30,0.0006572909690701193,0.0009145226191927813,0.20754716981132076,0.1,0.1636406478656646,0.13196561394951836,0.04390652194565617,-0.03196561394951836,0.07587213589517453,True
cross_segment,zip_code,658xx,34,19,0.0004216583575166803,0.0005791976588220949,0.2647058823529412,0.10526315789473684,0.1636406478656646,0.13196561394951836,0.10106523448727658,-0.026702456054781526,0.1277676905420581,True
cross_segment,zip_code,993xx,91,34,0.0011285561921769974,0.0010364589684184855,0.13186813186813187,0.11764705882352941,0.1636406478656646,0.13196561394951836,-0.031772515997532724,-0.014318555125988952,0.017453960871543772,True
cross_segment,zip_code,731xx,138,47,0.0017114368628618202,0.0014327521034020242,0.13043478260869565,0.19148936170212766,0.1636406478656646,0.13196561394951836,-0.03320586525696895,0.059523747752609296,0.09272961300957824,True
cross_segment,zip_code,313xx,66,14,0.0008185132822382618,0.00042677722228996463,0.12121212121212122,0.2857142857142857,0.1636406478656646,0.13196561394951836,-0.04242852665354338,0.15374867176476734,0.19617719841831072,True
cross_segment,zip_code,608xx,27,12,0.00033484634273383434,0.00036580904767711256,0.14814814814814814,0.08333333333333333,0.1636406478656646,0.13196561394951836,-0.015492499717516456,-0.048632280616185034,0.03313978089866858,True
cross_segment,zip_code,069xx,40,23,0.0004960686559019768,0.000701134008047799,0.05,0.17391304347826086,0.1636406478656646,0.13196561394951836,-0.11364064786566459,0.0419474295287425,0.1555880773944071,True
cross_segment,zip_code,629xx,41,10,0.0005084703722995263,0.00030484087306426044,0.12195121951219512,0.2,0.1636406478656646,0.13196561394951836,-0.041689428353469477,0.06803438605048165,0.10972381440395113,True
