context,model,seed,prob_kind,bin,n,mean_pred,observed_rate,p_min,p_max
temporal,logreg,0,recal,4,29306,0.18356092843234004,0.1890739097795673,0.17015446749107924,0.19668956263439735
temporal,logreg,0,recal,5,29306,0.2097205331328421,0.2119361222957756,0.19668966613269281,0.22287498970082978
temporal,logreg,0,recal,6,29306,0.23658676514772464,0.23889305944175254,0.22287934671109222,0.25050742694145545
temporal,logreg,0,recal,7,29306,0.26554306270942557,0.26513341977752,0.25050791358119257,0.28131295554822217
temporal,logreg,0,recal,8,29305,0.29932917276548837,0.29517147244497527,0.2813141879945245,0.3191068938335785
temporal,logreg,0,recal,9,29305,0.34423718673976267,0.33468691349599045,0.31910824123616804,0.3742672635667601
temporal,logreg,0,recal,10,29305,0.4375278203991939,0.4211567991810271,0.37426735754630547,0.9999993809783557
temporal,hgb,0,raw,1,29306,0.055800418360978446,0.07670784139766601,0.01679849143437651,0.07417230163559936
temporal,hgb,0,raw,2,29306,0.0853918421365324,0.12465024227120726,0.0741737409958389,0.09542096105640505
temporal,hgb,0,raw,3,29306,0.10424965835866744,0.15993311949771377,0.09542130458028407,0.1128415869858684
temporal,hgb,0,raw,4,29306,0.12108392098337098,0.1904388179894902,0.1128416559839212,0.1293061334312414
temporal,hgb,0,raw,5,29306,0.13798370962273118,0.20910393776018563,0.12930641147374644,0.14677968596657362
temporal,hgb,0,raw,6,29306,0.1562562812643496,0.2358902613799222,0.1467806383870716,0.1660196142795166
temporal,hgb,0,raw,7,29306,0.17674786785270502,0.263256670988876,0.16602027785806267,0.18800568281009297
temporal,hgb,0,raw,8,29305,0.20114333480747398,0.3003924245009384,0.18800890687316338,0.21552673838526698
temporal,hgb,0,raw,9,29305,0.2342362552693861,0.3408974577717113,0.21552704402183437,0.25666349149497253
temporal,hgb,0,raw,10,29305,0.29950305077769696,0.42692373315133936,0.25666349149497253,0.5777284197144414
temporal,hgb,0,recal,1,29306,0.08932895494997405,0.07670784139766601,0.02763438126074347,0.1175909608351638
temporal,hgb,0,recal,2,29306,0.1343896510237026,0.12465024227120726,0.1175931357440531,0.14927259832521086
temporal,hgb,0,recal,3,29306,0.16216739155410456,0.15993311949771377,0.149273103727315,0.17462676084511558
temporal,hgb,0,recal,4,29306,0.18641412995687995,0.1904388179894902,0.17462686018591198,0.19809333658226896
temporal,hgb,0,recal,5,29306,0.21025078554082755,0.20910393776018563,0.19809372888397578,0.2224870760715377
temporal,hgb,0,recal,6,29306,0.23547720057048516,0.2358902613799222,0.22248839164089088,0.24875747167935477
temporal,hgb,0,recal,7,29306,0.263113483608811,0.263256670988876,0.2487583673188302,0.2780475099889715
temporal,hgb,0,recal,8,29305,0.29514194653188985,0.3003924245009384,0.27805174940820093,0.31365781302715834
temporal,hgb,0,recal,9,29305,0.33712670912374604,0.3408974577717113,0.31365820218226914,0.36481424543227686
temporal,hgb,0,recal,10,29305,0.41478352334599405,0.42692373315133936,0.36481424543227686,0.6947262674615765
temporal,rf,0,raw,1,29306,0.03960690643554221,0.10779362587865966,0.0,0.056666666666666664
temporal,rf,0,raw,2,29306,0.06837302941377194,0.14949157169180372,0.056666666666666664,0.08
temporal,rf,0,raw,3,29306,0.08887087968334129,0.1775063127004709,0.08,0.1
temporal,rf,0,raw,4,29306,0.10810334629996134,0.19613730976591826,0.1,0.11666666666666667
